po.dept.code,funds,po.brut
1,48.1,23
2,81.4,10
3,41.8,25
4,61.7,19
5,86.4,8
6,51.6,22
7,53.6,21
8,51.1,22
9,56.4,20
10,62.8,18
11,79.1,11
12,48.7,23
13,44.5,24
14,58.3,20
15,44.6,24
16,58.6,20
17,51.7,22
18,27.9,28
19,64.3,18
20,56.8,20
21,74.2,13
22,74.8,13
23,82.7,10
24,71.3,15
25,73,14
26,56.3,20
27,82,10
28,83.2,9
29,50.8,22
30,47.9,23
31,65.4,17
32,77.3,12
33,93.9,4
34,78.9,11
35,82.9,9
36,75,13
37,45.5,24
38,30.7,27
39,34.2,26
40,58.5,20
41,83.9,9
42,48.6,23
43,59.6,19
44,89.1,6
45,53.8,21
46,69.1,16
47,47.4,23
48,53.8,21
49,49.8,23
50,59.6,19
51,82.6,10
52,63.5,18
53,76,13
54,51.8,22
55,59,20
56,46.8,23
57,72,14
58,59,20
59,59.7,19
60,64.2,18
61,43.6,24
62,73.5,14
63,52,22
64,68.1,16
65,49.3,23
66,55.6,21
67,29.1,27
68,56.2,21
69,41.6,25
70,56.5,20
71,57.6,20
72,57.3,20
73,65.9,17
74,61.2,19
75,66.9,17
76,58.3,20
77,75.3,13
78,62.5,18
79,63.5,18
80,52.2,22
81,68.2,16
82,34.5,26
83,75.3,13
84,60.3,19
85,70.8,15
86,50,22
87,96.5,2
88,53.6,21
89,59.5,19
90,52.9,22
91,74.6,13
92,44.7,24
93,69,16
94,74.2,13
95,75.5,13
96,66.4,17
97,55.5,21
98,52.6,22
99,57.9,20
100,59.8,19
101,30.7,27
102,77.7,12
103,70.8,15
104,63.8,18
105,59.8,19
106,74.1,14
107,57.2,20
108,31.2,27
109,49.4,23
110,79.9,11
111,46.4,24
112,85,8
113,99.7,0
114,62.8,18
115,40.4,25
116,72.7,14
117,37.4,26
118,67.6,16
119,61.5,19
120,57.6,20
121,78.2,12
122,74,14
123,40.9,25
124,36,26
125,76.6,12
126,65,17
127,54.7,21
128,79.3,11
129,40.2,25
130,39.1,25
131,80.9,10
132,31,27
133,42.1,25
134,59.1,20
135,71.7,15
136,67.5,16
137,65,17
138,44.6,24
139,70.4,15
140,65.2,17
141,48.7,23
142,60.2,19
143,93.4,4
144,75,13
145,56.1,21
146,54.4,21
147,62.2,18
148,57.2,20
149,39.5,25
150,54.8,21
151,74.9,13
152,72,14
153,52.9,22
154,72.8,14
155,51.5,22
156,79.3,11
157,55.6,21
158,78.6,11
159,54,21
160,63.5,18
161,21.4,29
162,94.4,3
163,62.1,18
164,85.1,8
165,53,22
166,50.8,22
167,60.1,19
168,58.9,20
169,60.4,19
170,53.4,21
171,39.1,25
172,62.8,18
173,42.2,25
174,34.4,26
175,60.1,19
176,65.7,17
177,84.3,9
178,44.6,24
179,74.4,13
180,51.8,22
181,93.4,4
182,50.4,22
183,71.9,15
184,75.3,13
185,41.7,25
186,56.5,20
187,57.8,20
188,54.9,21
189,71.8,15
190,43.2,24
191,70.7,15
192,66.2,17
193,53,22
194,67.4,16
195,57.9,20
196,80.8,10
197,72.9,14
198,61.9,19
199,50.9,22
200,71.6,15